Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
ФСК ЕЭС-08;4716016979;4-08-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR209;RU000A0JR209;1000;RUR;15.09.2020;0;28.09.2010;28.09.2010;05.10.2010;939,2;0;949;9392000000;38,2;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;949;1223;941;24.09.2013
ФСК ЕЭС-10;4716016979;4-10-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR217;RU000A0JR217;1000;RUR;15.09.2020;0;28.09.2010;28.09.2010;05.10.2010;0;0;871;0;35,88;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;871;0;941;22.09.2015
Технопром1;7733715940;4-01-36390-R;06.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR2E7;RU000A0JR2E7;1000;RUR;28.09.2016;0;19.11.2010;28.09.2016;11.11.2010;1000;0;1000;1200000000;37,49;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1200000;1200000;1200000000;0;1000;21;0;
ТПлюс 01;6315376946;4-01-12190-E;03.06.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR2S7;RU000A0JR2S7;1000;RUR;06.10.2017;0;15.10.2010;15.10.2010;19.10.2010;0;0;1001;0;52,05;0;1001;1001;1001;11,27;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1001;1001;30;999,5;12.10.2016
ВЭБ 08;7750004150;4-08-00004-T;05.10.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR3G0;RU000A0JR3G0;1000;RUR;13.10.2020;0;26.10.2010;26.10.2010;16.11.2010;994,5;0;998,9;14917500000;29,94;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;998,9;41;982,6;20.10.2016
ВЭБ 06;7750004150;4-06-00004-T;05.10.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR3H8;RU000A0JR3H8;1000;RUR;13.10.2020;0;26.10.2010;26.10.2010;16.11.2010;979,8000000000001;0;981,4;9798000000;30,52;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;981,4;384;973;17.10.2017
ФСК ЕЭС-11;4716016979;4-11-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR3L0;RU000A0JR3L0;1000;RUR;16.10.2020;0;29.10.2010;29.10.2010;17.11.2010;987,6;0;986;9876000000;30,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;986;391;984;24.10.2017
ФСК ЕЭС-09;4716016979;4-09-65018-D;05.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR3M8;RU000A0JR3M8;1000;RUR;16.10.2020;0;29.10.2010;29.10.2010;17.11.2010;988,9;0;988,5;4944500000;30,21;0;986,5;989;988,5;9,28;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;989;988,5;391;984;24.10.2017
Росгосстр2;7707067683;4-02-36389-R;15.04.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR472;RU000A0JR472;1000;RUR;02.11.2017;0;11.11.2010;11.11.2010;12.11.2010;992;0;996,2;4960000000;31,16;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;996,2;57;970;18.11.2016
МТС 07;7740000076;4-07-04715-A;06.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR4H6;RU000A0JR4H6;1000;RUR;07.11.2017;0;07.12.2010;07.11.2017;02.12.2010;995,1999999999999;995,1999999999999;992,5;9952000000;28,6;6730465;992,5;995,3;995,3;9,32;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;992,5;992,5;404;992,5;
МТС 08;7740000076;4-08-04715-A;06.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR4J2;RU000A0JR4J2;1000;RUR;03.11.2020;0;07.12.2010;03.11.2020;02.12.2010;1001,3;0;1005,5;15019500000;35,34;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;1005,5;62;997,6;
ГлДорога 3;7726581132;4-03-12755-A;09.09.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR4U9;RU000A0JR4U9;1000;RUR;30.10.2028;0;22.11.2010;22.11.2010;02.12.2010;970;0;978,8;7760000000;124,08;0;970;978,8;970;32,26;07.09.2016;08.09.2016;EQOB;8000000;8000000;8000000000;978,8;978,8;68;971;
ЕвроХим 03;7721230290;4-03-31153-H;03.12.2009;об;ОАО Московская Биржа;7703507076;RU000A0JR4Z8;RU000A0JR4Z8;1000;RUR;14.11.2018;0;24.11.2010;24.11.2010;02.12.2010;949,2;0;955;16938474;25,32;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;17845;5000000000;0;955;727;950;
АИЖК 17об;7729355614;4-17-00739-A;27.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR5F7;RU000A0JR5F7;1000;RUR;15.04.2022;0;09.02.2011;09.02.2011;10.03.2011;988,1999999999999;0;987,5;7905599999,999999;13,39;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;8000000;8000000;8000000000;0;987,5;1132;967;
УВЗ 1об;6623029538;4-01-55004-F;23.11.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR647;RU000A0JR647;1000;RUR;07.12.2017;0;16.12.2010;16.12.2010;24.12.2010;1000;0;1005;3000000000;33,29;0;1005;1005;1005;11,56;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;1005;1005;92;1004;13.12.2016
АИЖК 20об;7729355614;4-20-00739-A;27.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR6S8;RU000A0JR6S8;1000;RUR;15.12.2027;0;28.12.2010;28.12.2010;13.01.2011;0;0;950;0;19,79;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;950;0;0;
Газпрнеф10;5504036333;4-10-00146-A;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR878;RU000A0JR878;1000;RUR;26.01.2021;0;14.03.2011;26.01.2021;03.03.2011;990,4000000000001;0;981,9;9904000000;8,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;981,9;492;980;05.02.2018
Мечел 15об;7703370008;4-15-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR8L9;RU000A0JR8L9;1000;RUR;09.02.2021;0;22.02.2011;22.02.2011;02.03.2011;853;0;879;4265000000;4,82;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;879;1363;831,5999999999999;
Мечел 16об;7703370008;4-16-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR8P0;RU000A0JR8P0;1000;RUR;09.02.2021;0;22.02.2011;22.02.2011;02.03.2011;722;0;847,9000000000001;3610000000;4,82;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;847,9000000000001;1336;767,3000000000001;18.08.2016
УВЗ 2об;6623029538;4-02-55004-F;23.11.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR9E2;RU000A0JR9E2;1000;RUR;20.02.2018;0;12.12.2011;20.02.2018;04.03.2011;1000;1000;1014;3000000000;5,55;300578544,8;1014;1014;1014;10,53;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;1014;1014;167;990;26.08.2018
РУСАЛБАл07;3803100054;4-07-20075-F;20.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JR9K9;RU000A0JR9K9;1000;RUR;22.02.2018;0;03.03.2011;03.03.2011;15.03.2011;1010,4000000000001;0;1024,5;15156000000,000001;4,27;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;1024,5;503;1017;
ОАК1;7708619320;4-01-55306-E;22.02.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRA65;RU000A0JRA65;1000;RUR;17.03.2020;0;20.04.2011;17.03.2020;05.04.2011;0;0;1000;0;0,22;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;46280000;46280000;46280000000;0;1000;0;950;
ВЭБ 09;7750004150;4-09-00004-T;05.10.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRCX7;RU000A0JRCX7;1000;RUR;18.03.2021;0;31.03.2011;31.03.2011;20.04.2011;1015,3;0;1017,5;15229500000;52,16;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;1017,5;350;1006,9;25.09.2017
АИЖК 18об;7729355614;4-18-00739-A;27.05.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRDY3;RU000A0JRDY3;1000;RUR;15.07.2023;0;05.04.2011;05.04.2011;14.04.2011;1006,1;0;1014;7042700000;15,24;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;7000000;7000000;7000000000;0;1014;539;627;17.04.2018
ВЭБлизинг3;7709413138;4-03-43801-H;20.04.2010;об;ОАО Московская Биржа;7703507076;RU000A0JREW5;RU000A0JREW5;1000;RUR;02.04.2021;0;22.03.2012;02.04.2021;28.04.2011;0;0;1000;0;49,97;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;995;12.04.2017
